*************************************
*************************************
*************************************
*** Start Sub-Experiment 0 **********
*************************************
*************************************
*************************************

RUNNING 800 EPISODES

global_epsilon: 0.233669422318, episode_epsilon: 0.909090909091
global_epsilon: 0.233435986332, episode_epsilon: 0.826446280992
global_epsilon: 0.233202783548, episode_epsilon: 0.751314800902
global_epsilon: 0.232969813735, episode_epsilon: 0.683013455365
global_epsilon: 0.232737076658, episode_epsilon: 0.620921323059
global_epsilon: 0.232504572086, episode_epsilon: 0.564473930054
global_epsilon: 0.232272299786, episode_epsilon: 0.909090909091
global_epsilon: 0.232040259527, episode_epsilon: 0.826446280992
global_epsilon: 0.231808451076, episode_epsilon: 0.909090909091
global_epsilon: 0.231576874201, episode_epsilon: 0.826446280992
global_epsilon: 0.231345528673, episode_epsilon: 0.751314800902
global_epsilon: 0.231114414258, episode_epsilon: 0.683013455365
global_epsilon: 0.230883530728, episode_epsilon: 0.620921323059
global_epsilon: 0.23065287785, episode_epsilon: 0.564473930054
global_epsilon: 0.230422455394, episode_epsilon: 0.513158118231
global_epsilon: 0.230192263131, episode_epsilon: 0.46650738021
global_epsilon: 0.229962300831, episode_epsilon: 0.424097618372
global_epsilon: 0.229732568262, episode_epsilon: 0.38554328943
global_epsilon: 0.229503065197, episode_epsilon: 0.350493899481
global_epsilon: 0.229273791406, episode_epsilon: 0.909090909091
global_epsilon: 0.229044746659, episode_epsilon: 0.826446280992
global_epsilon: 0.228815930728, episode_epsilon: 0.751314800902
global_epsilon: 0.228587343385, episode_epsilon: 0.683013455365
global_epsilon: 0.2283589844, episode_epsilon: 0.620921323059
global_epsilon: 0.228130853547, episode_epsilon: 0.564473930054
global_epsilon: 0.227902950596, episode_epsilon: 0.513158118231
global_epsilon: 0.227675275321, episode_epsilon: 0.46650738021
global_epsilon: 0.227447827494, episode_epsilon: 0.424097618372
global_epsilon: 0.227220606887, episode_epsilon: 0.38554328943
global_epsilon: 0.226993613273, episode_epsilon: 0.350493899481
global_epsilon: 0.226766846427, episode_epsilon: 0.31863081771
global_epsilon: 0.226540306121, episode_epsilon: 0.289664379737
global_epsilon: 0.226313992129, episode_epsilon: 0.263331254306
global_epsilon: 0.226087904224, episode_epsilon: 0.909090909091
global_epsilon: 0.225862042182, episode_epsilon: 0.826446280992
global_epsilon: 0.225636405776, episode_epsilon: 0.751314800902
global_epsilon: 0.225410994782, episode_epsilon: 0.683013455365
global_epsilon: 0.225185808973, episode_epsilon: 0.620921323059
global_epsilon: 0.224960848125, episode_epsilon: 0.564473930054
global_epsilon: 0.224736112013, episode_epsilon: 0.513158118231
global_epsilon: 0.224511600412, episode_epsilon: 0.46650738021
global_epsilon: 0.224287313099, episode_epsilon: 0.424097618372
global_epsilon: 0.224063249849, episode_epsilon: 0.38554328943
global_epsilon: 0.223839410439, episode_epsilon: 0.909090909091
global_epsilon: 0.223615794644, episode_epsilon: 0.826446280992
global_epsilon: 0.223392402242, episode_epsilon: 0.909090909091
global_epsilon: 0.223169233009, episode_epsilon: 0.826446280992
global_epsilon: 0.222946286722, episode_epsilon: 0.751314800902
global_epsilon: 0.222723563159, episode_epsilon: 0.683013455365
global_epsilon: 0.222501062097, episode_epsilon: 0.620921323059
global_epsilon: 0.222278783314, episode_epsilon: 0.564473930054
global_epsilon: 0.222056726587, episode_epsilon: 0.513158118231
global_epsilon: 0.221834891695, episode_epsilon: 0.909090909091
global_epsilon: 0.221613278417, episode_epsilon: 0.826446280992
global_epsilon: 0.22139188653, episode_epsilon: 0.751314800902
global_epsilon: 0.221170715815, episode_epsilon: 0.683013455365
global_epsilon: 0.220949766049, episode_epsilon: 0.620921323059
global_epsilon: 0.220729037012, episode_epsilon: 0.564473930054
global_epsilon: 0.220508528483, episode_epsilon: 0.909090909091
global_epsilon: 0.220288240243, episode_epsilon: 0.826446280992
global_epsilon: 0.220068172071, episode_epsilon: 0.751314800902
global_epsilon: 0.219848323747, episode_epsilon: 0.683013455365
global_epsilon: 0.219628695052, episode_epsilon: 0.620921323059
global_epsilon: 0.219409285766, episode_epsilon: 0.564473930054
global_epsilon: 0.21919009567, episode_epsilon: 0.513158118231
global_epsilon: 0.218971124546, episode_epsilon: 0.46650738021
global_epsilon: 0.218752372174, episode_epsilon: 0.424097618372
global_epsilon: 0.218533838335, episode_epsilon: 0.38554328943
global_epsilon: 0.218315522813, episode_epsilon: 0.350493899481
global_epsilon: 0.218097425387, episode_epsilon: 0.31863081771
global_epsilon: 0.217879545841, episode_epsilon: 0.289664379737
global_epsilon: 0.217661883957, episode_epsilon: 0.263331254306
global_epsilon: 0.217444439518, episode_epsilon: 0.239392049369
global_epsilon: 0.217227212306, episode_epsilon: 0.21762913579
global_epsilon: 0.217010202104, episode_epsilon: 0.217010202104
global_epsilon: 0.216793408695, episode_epsilon: 0.216793408695
global_epsilon: 0.216576831863, episode_epsilon: 0.216576831863
global_epsilon: 0.216360471392, episode_epsilon: 0.909090909091
global_epsilon: 0.216144327064, episode_epsilon: 0.826446280992
global_epsilon: 0.215928398666, episode_epsilon: 0.909090909091
global_epsilon: 0.21571268598, episode_epsilon: 0.826446280992
